"Plot Title: QuestU_Remote_Weather_Station pre c-ston"
"#","Date Time, GMT-07:00","Rain, mm (LGR S/N: 10666706, SEN S/N: 10573345, LBL: Rain)","Temp, °C (LGR S/N: 10666706, SEN S/N: 10658214, LBL: Temp)","RH, % (LGR S/N: 10666706, SEN S/N: 10658214, LBL: RH)","Wind Direction, ø (LGR S/N: 10666706, SEN S/N: 10663457, LBL: Wind Direct.)","Wind Speed, m/s (LGR S/N: 10666706, SEN S/N: 10663496, LBL: Wind Speed)","Gust Speed, m/s (LGR S/N: 10666706, SEN S/N: 10663496, LBL: Gusts)"
218,09/25/15 03:19:59  PM,0.00,16.153,76.800,39.3,0.50,1.76
219,09/25/15 03:34:59  PM,0.00,16.272,75.600,2.8,0.25,2.27
220,09/25/15 03:49:59  PM,0.00,16.082,74.700,12.6,0.25,2.77
221,09/25/15 04:04:59  PM,0.00,16.106,75.200,4.2,0.50,2.52
222,09/25/15 04:19:59  PM,0.00,15.939,77.300,344.0,0.50,2.52
223,09/25/15 04:34:59  PM,0.00,15.652,77.800,348.2,0.50,3.02
224,09/25/15 04:49:59  PM,0.00,15.796,77.200,22.5,0.25,2.01
225,09/25/15 05:04:59  PM,0.00,15.223,78.600,338.3,0.25,1.76
226,09/25/15 05:19:59  PM,0.00,15.294,78.800,342.6,0.00,2.01
227,09/25/15 05:34:59  PM,0.00,15.772,77.000,351.0,0.00,1.26
228,09/25/15 05:49:59  PM,0.00,14.984,80.500,348.2,0.00,2.27
229,09/25/15 06:04:59  PM,0.00,14.433,80.000,342.6,0.00,1.26
230,09/25/15 06:19:59  PM,0.00,13.209,84.600,351.0,0.00,0.76
231,09/25/15 06:34:59  PM,0.00,11.565,92.200,353.8,0.00,0.00
232,09/25/15 06:49:59  PM,0.00,10.932,94.300,353.8,0.00,0.00
233,09/25/15 07:04:59  PM,0.00,10.541,96.300,353.8,0.00,0.00
234,09/25/15 07:19:59  PM,0.00,10.198,96.400,353.8,0.00,0.00
235,09/25/15 07:34:59  PM,0.00,9.928,97.300,92.7,0.00,0.76
236,09/25/15 07:49:59  PM,0.00,10.247,97.800,143.2,0.00,0.50
237,09/25/15 08:04:59  PM,0.00,9.657,97.800,143.2,0.00,0.50
238,09/25/15 08:19:59  PM,0.00,9.977,97.600,112.3,0.00,1.26
239,09/25/15 08:34:59  PM,0.00,9.805,97.300,183.9,0.00,0.25
240,09/25/15 08:49:59  PM,0.00,9.608,98.200,146.0,0.00,0.00
241,09/25/15 09:04:59  PM,0.00,9.805,98.100,153.0,0.00,0.76
242,09/25/15 09:19:59  PM,0.00,9.608,97.400,190.9,0.00,0.50
243,09/25/15 09:34:59  PM,0.00,9.386,97.600,158.6,0.00,1.26
244,09/25/15 09:49:59  PM,0.00,9.361,97.500,124.9,0.00,1.01
245,09/25/15 10:04:59  PM,0.00,9.139,97.500,151.6,0.00,1.26
246,09/25/15 10:19:59  PM,0.00,9.163,98.000,144.6,0.00,1.01
247,09/25/15 10:34:59  PM,0.00,8.792,98.400,157.2,0.00,1.26
248,09/25/15 10:49:59  PM,0.00,8.891,98.500,160.0,0.00,0.00
249,09/25/15 11:04:59  PM,0.00,8.593,98.500,160.0,0.00,0.00
250,09/25/15 11:19:59  PM,0.00,8.519,98.900,160.0,0.00,0.00
251,09/25/15 11:34:59  PM,0.00,8.767,99.300,160.0,0.00,0.00
252,09/25/15 11:49:59  PM,0.00,8.841,99.200,160.0,0.00,0.00
253,09/26/15 12:04:59  AM,0.00,9.139,99.000,196.5,0.00,1.01
254,09/26/15 12:19:59  AM,0.00,9.485,98.800,206.4,0.00,0.00
255,09/26/15 12:34:59  AM,0.00,9.386,98.300,189.5,0.00,0.25
256,09/26/15 12:49:59  AM,0.00,9.854,95.900,171.3,0.00,0.25
257,09/26/15 01:04:59  AM,0.00,9.558,97.300,171.3,0.00,0.25
258,09/26/15 01:19:59  AM,0.00,9.410,97.400,171.3,0.00,0.00
259,09/26/15 01:34:59  AM,0.00,9.336,97.100,171.3,0.00,0.76
260,09/26/15 01:49:59  AM,0.00,9.485,95.700,154.4,0.00,0.00
261,09/26/15 02:04:59  AM,0.00,9.238,96.300,153.0,0.00,0.25
262,09/26/15 02:19:59  AM,0.00,9.312,95.600,148.8,0.00,0.25
263,09/26/15 02:34:59  AM,0.00,9.238,95.200,148.8,0.00,0.00
264,09/26/15 02:49:59  AM,0.00,9.163,95.000,148.8,0.00,0.00
265,09/26/15 03:04:59  AM,0.00,8.965,95.400,151.6,0.00,0.50
266,09/26/15 03:19:59  AM,0.00,8.717,94.700,162.9,0.00,0.25
267,09/26/15 03:34:59  AM,0.00,8.394,95.300,155.8,0.00,0.76
